Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
01-May-10,,,,,,,,,,,,,,,,,,,
2965,5|9|18|19|20,No Data,"$180,050.24",4,,,,,,,,,,,,,,,
03-May-10,,,,,,,,,,,,,,,,,,,
2966,2|3|9|15|19,No Data,"$150,373.93",4,,,,,,,,,,,,,,,
04-May-10,,,,,,,,,,,,,,,,,,,
2967,4|5|9|12|13,No Data,"$155,579.75",6,,,,,,,,,,,,,,,
05-May-10,,,,,,,,,,,,,,,,,,,
2968,2|7|10|16|18,No Data,"$167,933.31",12,,,,,,,,,,,,,,,
06-May-10,,,,,,,,,,,,,,,,,,,
2969,2|7|10|13|17,No Data,"$141,164.37",8,,,,,,,,,,,,,,,
07-May-10,,,,,,,,,,,,,,,,,,,
2970,2|6|7|18|20,No Data,"$153,794.00",2,,,,,,,,,,,,,,,
08-May-10,,,,,,,,,,,,,,,,,,,
2971,3|7|10|12|20,No Data,"$167,207.65",9,,,,,,,,,,,,,,,
10-May-10,,,,,,,,,,,,,,,,,,,
2972,5|11|13|17|18,No Data,"$137,480.86",6,,,,,,,,,,,,,,,
11-May-10,,,,,,,,,,,,,,,,,,,
2973,7|11|18|19|20,No Data,"$139,471.69",6,,,,,,,,,,,,,,,
12-May-10,,,,,,,,,,,,,,,,,,,
2974,2|3|7|12|13,No Data,"$162,411.96",6,,,,,,,,,,,,,,,
13-May-10,,,,,,,,,,,,,,,,,,,
2975,4|8|12|13|18,No Data,"$139,684.66",9,,,,,,,,,,,,,,,
14-May-10,,,,,,,,,,,,,,,,,,,
2976,3|9|10|18|19,No Data,"$163,946.92",4,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-May-10,,,,,,,,,,,,,,,,,,,
2977,13|17|18|19|20,No Data,"$188,546.76",11,,,,,,,,,,,,,,,
17-May-10,,,,,,,,,,,,,,,,,,,
2978,2|7|9|13|19,No Data,"$154,130.01",13,,,,,,,,,,,,,,,
18-May-10,,,,,,,,,,,,,,,,,,,
2979,5|8|11|13|20,No Data,"$148,447.78",6,,,,,,,,,,,,,,,
19-May-10,,,,,,,,,,,,,,,,,,,
2980,5|7|9|11|19,No Data,"$165,473.96",9,,,,,,,,,,,,,,,
20-May-10,,,,,,,,,,,,,,,,,,,
2981,2|6|9|10|11,No Data,"$137,078.60",3,,,,,,,,,,,,,,,
21-May-10,,,,,,,,,,,,,,,,,,,
2982,1|2|5|16|19,No Data,"$154,254.63",3,,,,,,,,,,,,,,,
22-May-10,,,,,,,,,,,,,,,,,,,
2983,4|7|8|13|16,No Data,"$157,897.13",4,,,,,,,,,,,,,,,
24-May-10,,,,,,,,,,,,,,,,,,,
2984,6|8|13|14|19,No Data,"$116,078.65",3,,,,,,,,,,,,,,,
25-May-10,,,,,,,,,,,,,,,,,,,
2985,3|5|9|19|20,No Data,"$137,745.89",5,,,,,,,,,,,,,,,
26-May-10,,,,,,,,,,,,,,,,,,,
2986,6|9|13|15|20,No Data,"$163,322.22",5,,,,,,,,,,,,,,,
27-May-10,,,,,,,,,,,,,,,,,,,
2987,2|6|8|10|15,No Data,"$140,394.54",6,,,,,,,,,,,,,,,
28-May-10,,,,,,,,,,,,,,,,,,,
2988,7|10|13|14|17,No Data,"$165,551.25",6,,,,,,,,,,,,,,,
29-May-10,,,,,,,,,,,,,,,,,,,
2989,5|10|12|15|20,No Data,"$202,645.06",10,,,,,,,,,,,,,,,
31-May-10,,,,,,,,,,,,,,,,,,,
2990,6|9|16|17|19,No Data,"$105,909.96",7,,,,,,,,,,,,,,,
01-Jun-10,,,,,,,,,,,,,,,,,,,
2991,1|9|17|19|20,No Data,"$143,920.30",3,,,,,,,,,,,,,,,
02-Jun-10,,,,,,,,,,,,,,,,,,,
2992,1|3|10|13|15,No Data,"$179,124.24",7,,,,,,,,,,,,,,,
04-Jun-10,,,,,,,,,,,,,,,,,,,
2993,6|13|14|15|20,No Data,"$160,796.61",3,,,,,,,,,,,,,,,
05-Jun-10,,,,,,,,,,,,,,,,,,,
2994,1|6|8|11|18,No Data,"$186,096.87",5,,,,,,,,,,,,,,,
07-Jun-10,,,,,,,,,,,,,,,,,,,
2995,4|9|11|14|16,No Data,"$142,347.51",3,,,,,,,,,,,,,,,
08-Jun-10,,,,,,,,,,,,,,,,,,,
2996,3|4|8|13|16,No Data,"$147,428.70",4,,,,,,,,,,,,,,,
09-Jun-10,,,,,,,,,,,,,,,,,,,
2997,4|5|8|14|15,No Data,"$178,863.95",9,,,,,,,,,,,,,,,
10-Jun-10,,,,,,,,,,,,,,,,,,,
2998,2|4|7|13|17,No Data,"$136,767.82",10,,,,,,,,,,,,,,,
11-Jun-10,,,,,,,,,,,,,,,,,,,
2999,1|9|10|11|18,No Data,"$156,791.29",3,,,,,,,,,,,,,,,
12-Jun-10,,,,,,,,,,,,,,,,,,,
3000,7|8|10|17|18,No Data,"$185,423.27",7,,,,,,,,,,,,,,,
14-Jun-10,,,,,,,,,,,,,,,,,,,
3001,2|10|13|14|17,No Data,"$134,147.56",6,,,,,,,,,,,,,,,
15-Jun-10,,,,,,,,,,,,,,,,,,,
3002,4|10|11|14|19,No Data,"$137,217.42",7,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
16-Jun-10,,,,,,,,,,,,,,,,,,,
3003,1|5|6|7|16,No Data,$160.00,8,,,,,,,,,,,,,,,
17-Jun-10,,,,,,,,,,,,,,,,,,,
3004,2|3|7|14|19,No Data,"$131,991.09",8,,,,,,,,,,,,,,,
18-Jun-10,,,,,,,,,,,,,,,,,,,
3005,1|5|10|14|19,No Data,"$140,500.24",9,,,,,,,,,,,,,,,
19-Jun-10,,,,,,,,,,,,,,,,,,,
3006,6|7|13|15|18,No Data,"$135,666.72",8,,,,,,,,,,,,,,,
21-Jun-10,,,,,,,,,,,,,,,,,,,
3007,4|7|10|15|20,No Data,"$127,162.30",14,,,,,,,,,,,,,,,
22-Jun-10,,,,,,,,,,,,,,,,,,,
3008,1|7|12|16|17,No Data,"$125,215.65",3,,,,,,,,,,,,,,,
23-Jun-10,,,,,,,,,,,,,,,,,,,
3009,1|3|4|14|16,No Data,"$144,153.77",2,,,,,,,,,,,,,,,
24-Jun-10,,,,,,,,,,,,,,,,,,,
3010,1|4|11|12|16,No Data,"$122,395.04",6,,,,,,,,,,,,,,,
25-Jun-10,,,,,,,,,,,,,,,,,,,
3011,9|12|13|16|18,No Data,"$139,023.68",7,,,,,,,,,,,,,,,
26-Jun-10,,,,,,,,,,,,,,,,,,,
3012,5|6|7|11|18,No Data,"$157,486.97",6,,,,,,,,,,,,,,,
28-Jun-10,,,,,,,,,,,,,,,,,,,
3013,2|4|6|14|17,No Data,"$122,669.52",4,,,,,,,,,,,,,,,
29-Jun-10,,,,,,,,,,,,,,,,,,,
3014,5|9|13|16|19,No Data,"$130,025.50",6,,,,,,,,,,,,,,,
30-Jun-10,,,,,,,,,,,,,,,,,,,
3015,4|7|15|18|19,No Data,"$155,732.77",6,,,,,,,,,,,,,,,
01-Jul-10,,,,,,,,,,,,,,,,,,,
3016,1|4|10|19|20,No Data,"$133,234.18",10,,,,,,,,,,,,,,,
02-Jul-10,,,,,,,,,,,,,,,,,,,
3017,1|5|8|13|14,No Data,"$139,151.46",2,,,,,,,,,,,,,,,
03-Jul-10,,,,,,,,,,,,,,,,,,,
3018,5|6|13|18|19,No Data,"$162,265.28",3,,,,,,,,,,,,,,,
05-Jul-10,,,,,,,,,,,,,,,,,,,
3019,7|9|11|18|20,No Data,"$136,658.98",7,,,,,,,,,,,,,,,
06-Jul-10,,,,,,,,,,,,,,,,,,,
3020,1|5|7|8|9,No Data,"$134,805.39",6,,,,,,,,,,,,,,,
07-Jul-10,,,,,,,,,,,,,,,,,,,
3021,8|9|11|12|16,No Data,"$153,085.69",6,,,,,,,,,,,,,,,
08-Jul-10,,,,,,,,,,,,,,,,,,,
3022,2|6|10|14|16,No Data,"$130,634.43",10,,,,,,,,,,,,,,,
09-Jul-10,,,,,,,,,,,,,,,,,,,
3023,4|5|11|14|17,No Data,"$142,975.37",8,,,,,,,,,,,,,,,
10-Jul-10,,,,,,,,,,,,,,,,,,,
3024,6|8|10|11|15,No Data,"$157,676.27",5,,,,,,,,,,,,,,,
12-Jul-10,,,,,,,,,,,,,,,,,,,
3025,1|8|10|14|19,No Data,"$121,947.02",5,,,,,,,,,,,,,,,
13-Jul-10,,,,,,,,,,,,,,,,,,,
3026,1|2|8|10|17,No Data,"$122,257.80",0,,,,,,,,,,,,,,,
14-Jul-10,,,,,,,,,,,,,,,,,,,
3027,5|11|15|16|19,No Data,"$142,571.52",4,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Jul-10,,,,,,,,,,,,,,,,,,,
3028,4|6|11|15|19,No Data,"$118,334.50",9,,,,,,,,,,,,,,,
16-Jul-10,,,,,,,,,,,,,,,,,,,
3029,1|2|4|7|10,No Data,"$142,057.25",4,,,,,,,,,,,,,,,
17-Jul-10,,,,,,,,,,,,,,,,,,,
3030,4|6|9|10|19,No Data,"$157,936.56",8,,,,,,,,,,,,,,,
19-Jul-10,,,,,,,,,,,,,,,,,,,
3031,5|6|7|15|16,No Data,"$117,870.71",6,,,,,,,,,,,,,,,
20-Jul-10,,,,,,,,,,,,,,,,,,,
3032,2|9|13|15|19,No Data,"$120,153.38",2,,,,,,,,,,,,,,,
21-Jul-10,,,,,,,,,,,,,,,,,,,
3033,5|8|11|14|15,No Data,"$138,369.01",3,,,,,,,,,,,,,,,
22-Jul-10,,,,,,,,,,,,,,,,,,,
3034,4|7|10|13|17,No Data,"$116,856.37",27,,,,,,,,,,,,,,,
23-Jul-10,,,,,,,,,,,,,,,,,,,
3035,5|6|7|16|17,No Data,"$136,501.22",8,,,,,,,,,,,,,,,
24-Jul-10,,,,,,,,,,,,,,,,,,,
3036,1|11|15|18|20,No Data,"$156,794.44",13,,,,,,,,,,,,,,,
26-Jul-10,,,,,,,,,,,,,,,,,,,
3037,1|4|12|18|19,No Data,"$109,877.42",7,,,,,,,,,,,,,,,
27-Jul-10,,,,,,,,,,,,,,,,,,,
3038,5|11|14|16|19,No Data,"$112,518.19",2,,,,,,,,,,,,,,,
28-Jul-10,,,,,,,,,,,,,,,,,,,
3039,6|13|14|15|16,No Data,"$138,675.05",9,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
29-Jul-10,,,,,,,,,,,,,,,,,,,
3040,6|7|9|12|20,No Data,"$114,521.64",7,,,,,,,,,,,,,,,
30-Jul-10,,,,,,,,,,,,,,,,,,,
3041,2|7|9|16|20,No Data,"$133,830.48",3,,,,,,,,,,,,,,,
31-Jul-10,,,,,,,,,,,,,,,,,,,
3042,1|2|10|12|16,No Data,"$166,434.67",8,,,,,,,,,,,,,,,
02-Aug-10,,,,,,,,,,,,,,,,,,,
3043,5|6|9|12|18,No Data,"$85,203.43",3,,,,,,,,,,,,,,,
03-Aug-10,,,,,,,,,,,,,,,,,,,
3044,9|13|14|16|19,No Data,"$120,744.95",4,,,,,,,,,,,,,,,
04-Aug-10,,,,,,,,,,,,,,,,,,,
3045,4|5|12|15|19,No Data,"$159,673.41",8,,,,,,,,,,,,,,,
05-Aug-10,,,,,,,,,,,,,,,,,,,
3046,3|10|11|15|16,No Data,"$119,942.00",7,,,,,,,,,,,,,,,
06-Aug-10,,,,,,,,,,,,,,,,,,,
3047,5|7|8|11|18,No Data,"$136,617.96",3,,,,,,,,,,,,,,,
07-Aug-10,,,,,,,,,,,,,,,,,,,
3048,5|10|13|14|16,No Data,$160.00,9,,,,,,,,,,,,,,,
09-Aug-10,,,,,,,,,,,,,,,,,,,
3049,5|10|14|18|19,No Data,"$110,446.90",1,,,,,,,,,,,,,,,
10-Aug-10,,,,,,,,,,,,,,,,,,,
3050,2|7|10|15|19,No Data,"$117,208.15",13,,,,,,,,,,,,,,,
11-Aug-10,,,,,,,,,,,,,,,,,,,
