Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
01-Feb-17,,,,,,,,,,,,,,,,,,,
5044,3|5|7|8|10,4,"$207,430.00",10,,,,,,,,,,,,,,,
02-Feb-17,,,,,,,,,,,,,,,,,,,
5045,10|11|12|13|15,3,$184.00,17,,,,,,,,,,,,,,,
03-Feb-17,,,,,,,,,,,,,,,,,,,
5046,1|9|10|17|18,3,"$182,898.00",9,,,,,,,,,,,,,,,
04-Feb-17,,,,,,,,,,,,,,,,,,,
5047,2|13|15|17|18,4,"$235,640.00",5,,,,,,,,,,,,,,,
06-Feb-17,,,,,,,,,,,,,,,,,,,
5048,2|3|7|16|17,4,"$168,780.00",5,,,,,,,,,,,,,,,
07-Feb-17,,,,,,,,,,,,,,,,,,,
5049,2|9|11|14|18,1,"$160,904.00",4,,,,,,,,,,,,,,,
08-Feb-17,,,,,,,,,,,,,,,,,,,
5050,1|7|9|13|20,1,"$198,204.00",6,,,,,,,,,,,,,,,
09-Feb-17,,,,,,,,,,,,,,,,,,,
5051,1|8|16|17|18,4,"$159,782.00",7,,,,,,,,,,,,,,,
10-Feb-17,,,,,,,,,,,,,,,,,,,
5052,7|10|12|13|17,1,"$167,780.00",7,,,,,,,,,,,,,,,
11-Feb-17,,,,,,,,,,,,,,,,,,,
5053,4|6|7|10|12,3,"$225,068.00",2,,,,,,,,,,,,,,,
13-Feb-17,,,,,,,,,,,,,,,,,,,
5054,3|9|14|16|17,4,"$165,120.00",5,,,,,,,,,,,,,,,
14-Feb-17,,,,,,,,,,,,,,,,,,,
5055,2|3|6|16|20,1,"$151,064.00",4,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Feb-17,,,,,,,,,,,,,,,,,,,
5056,2|4|16|18|20,2,"$206,900.00",10,,,,,,,,,,,,,,,
16-Feb-17,,,,,,,,,,,,,,,,,,,
5057,2|6|11|16|20,3,"$180,004.00",11,,,,,,,,,,,,,,,
17-Feb-17,,,,,,,,,,,,,,,,,,,
5058,5|6|7|13|14,2,"$171,984.00",6,,,,,,,,,,,,,,,
18-Feb-17,,,,,,,,,,,,,,,,,,,
5059,5|7|9|10|13,4,"$235,260.00",6,,,,,,,,,,,,,,,
20-Feb-17,,,,,,,,,,,,,,,,,,,
5060,6|7|11|16|17,2,"$172,776.00",6,,,,,,,,,,,,,,,
21-Feb-17,,,,,,,,,,,,,,,,,,,
5061,3|4|14|15|20,1,"$159,849.00",3,,,,,,,,,,,,,,,
22-Feb-17,,,,,,,,,,,,,,,,,,,
5062,4|7|12|13|16,1,"$211,136.00",16,,,,,,,,,,,,,,,
23-Feb-17,,,,,,,,,,,,,,,,,,,
5063,3|4|8|12|18,3,"$167,680.00",5,,,,,,,,,,,,,,,
24-Feb-17,,,,,,,,,,,,,,,,,,,
5064,5|7|9|10|15,1,"$165,671.00",11,,,,,,,,,,,,,,,
25-Feb-17,,,,,,,,,,,,,,,,,,,
5065,9|10|16|18|20,2,"$224,050.00",10,,,,,,,,,,,,,,,
