Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
27-Feb-17,,,,,,,,,,,,,,,,,,,
5066,1|8|9|16|19,3,"$119,605.00",5,,,,,,,,,,,,,,,
28-Feb-17,,,,,,,,,,,,,,,,,,,
5067,4|11|12|18|19,3,"$108,208.00",4,,,,,,,,,,,,,,,
01-Mar-17,,,,,,,,,,,,,,,,,,,
5068,4|6|7|8|15,1,"$173,670.00",6,,,,,,,,,,,,,,,
02-Mar-17,,,,,,,,,,,,,,,,,,,
5069,2|4|5|8|20,2,"$175,605.00",5,,,,,,,,,,,,,,,
03-Mar-17,,,,,,,,,,,,,,,,,,,
5070,2|7|11|12|13,1,"$162,265.00",5,,,,,,,,,,,,,,,
04-Mar-17,,,,,,,,,,,,,,,,,,,
5071,5|14|15|17|20,2,"$212,375.00",5,,,,,,,,,,,,,,,
06-Mar-17,,,,,,,,,,,,,,,,,,,
5072,3|7|15|18|19,4,"$169,833.00",3,,,,,,,,,,,,,,,
07-Mar-17,,,,,,,,,,,,,,,,,,,
5073,4|6|8|13|16,1,"$159,540.00",5,,,,,,,,,,,,,,,
08-Mar-17,,,,,,,,,,,,,,,,,,,
5074,2|9|13|18|19,1,"$179,512.00",8,,,,,,,,,,,,,,,
09-Mar-17,,,,,,,,,,,,,,,,,,,
5075,2|7|11|17|20,2,"$161,352.00",6,,,,,,,,,,,,,,,
10-Mar-17,,,,,,,,,,,,,,,,,,,
5076,4|11|12|13|15,1,"$152,990.00",2,,,,,,,,,,,,,,,
11-Mar-17,,,,,,,,,,,,,,,,,,,
5077,7|9|10|11|13,2,"$203,630.00",14,,,,,,,,,,,,,,,
13-Mar-17,,,,,,,,,,,,,,,,,,,
5078,4|6|8|12|20,2,"$157,762.00",2,,,,,,,,,,,,,,,
14-Mar-17,,,,,,,,,,,,,,,,,,,
5079,7|8|10|11|14,2,"$147,234.00",6,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Mar-17,,,,,,,,,,,,,,,,,,,
5080,1|5|10|11|19,1,"$180,456.00",8,,,,,,,,,,,,,,,
16-Mar-17,,,,,,,,,,,,,,,,,,,
5081,11|13|14|18|20,2,"$176,340.00",6,,,,,,,,,,,,,,,
17-Mar-17,,,,,,,,,,,,,,,,,,,
5082,2|4|10|13|18,1,"$159,624.00",4,,,,,,,,,,,,,,,
18-Mar-17,,,,,,,,,,,,,,,,,,,
5083,1|2|6|11|18,3,"$212,840.00",2,,,,,,,,,,,,,,,
20-Mar-17,,,,,,,,,,,,,,,,,,,
5084,5|8|9|13|15,4,"$152,895.00",5,,,,,,,,,,,,,,,
21-Mar-17,,,,,,,,,,,,,,,,,,,
5085,1|4|11|16|20,1,X,X,,,,,,,,,,,,,,,
22-Mar-17,,,,,,,,,,,,,,,,,,,
5086,2|4|6|10|14,1,"$174,432.00",12,,,,,,,,,,,,,,,
23-Mar-17,,,,,,,,,,,,,,,,,,,
5087,6|8|12|16|18,4,"$149,104.00",8,,,,,,,,,,,,,,,
24-Mar-17,,,,,,,,,,,,,,,,,,,
5088,2|9|10|11|17,1,"$156,608.00",4,,,,,,,,,,,,,,,
25-Mar-17,,,,,,,,,,,,,,,,,,,
5089,5|7|8|15|20,3,"$205,604.00",7,,,,,,,,,,,,,,,
27-Mar-17,,,,,,,,,,,,,,,,,,,
5090,1|3|12|17|20,3,"$160,314.00",6,,,,,,,,,,,,,,,
28-Mar-17,,,,,,,,,,,,,,,,,,,
5091,4|10|12|14|15,1,"$145,376.00",8,,,,,,,,,,,,,,,
29-Mar-17,,,,,,,,,,,,,,,,,,,
5092,11|14|15|18|19,2,"$194,655.00",15,,,,,,,,,,,,,,,
31-Mar-17,,,,,,,,,,,,,,,,,,,
5093,4|6|9|12|17,1,"$177,210.00",6,,,,,,,,,,,,,,,
01-Apr-17,,,,,,,,,,,,,,,,,,,
5094,2|3|5|16|17,2,"$240,219.00",9,,,,,,,,,,,,,,,
03-Apr-17,,,,,,,,,,,,,,,,,,,
5095,1|6|9|13|14,3,"$176,260.00",7,,,,,,,,,,,,,,,
04-Apr-17,,,,,,,,,,,,,,,,,,,
5096,2|5|11|13|19,2,"$159,360.00",12,,,,,,,,,,,,,,,
05-Apr-17,,,,,,,,,,,,,,,,,,,
5097,1|3|9|11|16,3,"$205,464.00",6,,,,,,,,,,,,,,,
06-Apr-17,,,,,,,,,,,,,,,,,,,
5098,2|8|11|16|19,3,"$168,200.00",4,,,,,,,,,,,,,,,
07-Apr-17,,,,,,,,,,,,,,,,,,,
5099,5|7|11|13|18,1,"$158,081.00",7,,,,,,,,,,,,,,,
08-Apr-17,,,,,,,,,,,,,,,,,,,
5100,4|6|12|13|16,3,"$223,380.00",15,,,,,,,,,,,,,,,
10-Apr-17,,,,,,,,,,,,,,,,,,,
5101,2|3|11|12|18,4,"$158,154.00",6,,,,,,,,,,,,,,,
11-Apr-17,,,,,,,,,,,,,,,,,,,
5102,1|2|16|19|20,2,"$149,640.00",6,,,,,,,,,,,,,,,
12-Apr-17,,,,,,,,,,,,,,,,,,,
5103,4|9|10|12|15,2,"$196,090.00",5,,,,,,,,,,,,,,,
13-Apr-17,,,,,,,,,,,,,,,,,,,
5104,6|8|9|10|14,3,"$170,568.00",2,,,,,,,,,,,,,,,
15-Apr-17,,,,,,,,,,,,,,,,,,,
5105,5|7|14|18|19,4,"$219,648.00",11,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
17-Apr-17,,,,,,,,,,,,,,,,,,,
5106,3|10|14|17|19,3,"$125,658.00",6,,,,,,,,,,,,,,,
18-Apr-17,,,,,,,,,,,,,,,,,,,
5107,3|7|12|13|19,1,"$151,698.00",3,,,,,,,,,,,,,,,
19-Apr-17,,,,,,,,,,,,,,,,,,,
5108,1|14|18|19|20,1,"$174,256.00",4,,,,,,,,,,,,,,,
20-Apr-17,,,,,,,,,,,,,,,,,,,
5109,1|2|6|8|11,2,"$160,110.00",10,,,,,,,,,,,,,,,
21-Apr-17,,,,,,,,,,,,,,,,,,,
5110,1|3|6|10|16,1,"$155,274.00",6,,,,,,,,,,,,,,,
22-Apr-17,,,,,,,,,,,,,,,,,,,
5111,9|11|12|14|16,2,"$196,752.00",8,,,,,,,,,,,,,,,
24-Apr-17,,,,,,,,,,,,,,,,,,,
5112,9|10|11|17|19,3,"$145,614.00",6,,,,,,,,,,,,,,,
25-Apr-17,,,,,,,,,,,,,,,,,,,
5113,6|9|16|18|19,1,"$143,808.00",16,,,,,,,,,,,,,,,
26-Apr-17,,,,,,,,,,,,,,,,,,,
5114,1|7|10|11|18,1,"$166,230.00",9,,,,,,,,,,,,,,,
27-Apr-17,,,,,,,,,,,,,,,,,,,
5115,3|4|12|14|16,4,"$157,581.00",9,,,,,,,,,,,,,,,
28-Apr-17,,,,,,,,,,,,,,,,,,,
5116,4|12|14|19|20,4,"$164,748.00",6,,,,,,,,,,,,,,,
29-Apr-17,,,,,,,,,,,,,,,,,,,
5117,3|9|15|16|17,2,"$225,862.00",17,,,,,,,,,,,,,,,
01-May-17,,,,,,,,,,,,,,,,,,,
5118,2|5|7|17|19,2,"$177,507.00",11,,,,,,,,,,,,,,,
02-May-17,,,,,,,,,,,,,,,,,,,
5119,2|3|7|9|18,1,"$160,069.00",7,,,,,,,,,,,,,,,
03-May-17,,,,,,,,,,,,,,,,,,,
5120,4|5|12|17|19,1,"$185,160.00",8,,,,,,,,,,,,,,,
04-May-17,,,,,,,,,,,,,,,,,,,
5121,5|15|17|18|19,4,"$159,535.00",5,,,,,,,,,,,,,,,
05-May-17,,,,,,,,,,,,,,,,,,,
5122,6|7|10|12|14,1,"$152,406.00",6,,,,,,,,,,,,,,,
06-May-17,,,,,,,,,,,,,,,,,,,
5123,2|11|14|16|18,2,"$208,804.00",4,,,,,,,,,,,,,,,
08-May-17,,,,,,,,,,,,,,,,,,,
5124,6|9|11|16|19,4,"$155,116.00",13,,,,,,,,,,,,,,,
09-May-17,,,,,,,,,,,,,,,,,,,
5125,4|5|6|10|11,1,"$139,638.00",6,,,,,,,,,,,,,,,
10-May-17,,,,,,,,,,,,,,,,,,,
5126,2|8|14|18|19,2,"$172,110.00",5,,,,,,,,,,,,,,,
11-May-17,,,,,,,,,,,,,,,,,,,
5127,13|14|15|17|18,2,"$153,360.00",12,,,,,,,,,,,,,,,
12-May-17,,,,,,,,,,,,,,,,,,,
5128,4|7|9|11|12,2,"$138,501.00",9,,,,,,,,,,,,,,,
13-May-17,,,,,,,,,,,,,,,,,,,
5129,4|15|18|19|20,4,"$209,118.00",7,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-May-17,,,,,,,,,,,,,,,,,,,
5130,2|4|8|12|15,3,"$159,210.00",10,,,,,,,,,,,,,,,
16-May-17,,,,,,,,,,,,,,,,,,,
5131,3|4|10|13|14,1,"$154,764.00",4,,,,,,,,,,,,,,,
17-May-17,,,,,,,,,,,,,,,,,,,
5132,1|6|7|8|12,2,"$188,934.00",3,,,,,,,,,,,,,,,
18-May-17,,,,,,,,,,,,,,,,,,,
5133,2|5|8|11|18,3,"$164,912.00",4,,,,,,,,,,,,,,,
19-May-17,,,,,,,,,,,,,,,,,,,
5134,7|15|16|18|19,3,"$157,020.00",6,,,,,,,,,,,,,,,
20-May-17,,,,,,,,,,,,,,,,,,,
5135,2|7|15|18|20,3,"$225,090.00",10,,,,,,,,,,,,,,,
22-May-17,,,,,,,,,,,,,,,,,,,
5136,4|9|13|14|20,4,"$159,048.00",6,,,,,,,,,,,,,,,
23-May-17,,,,,,,,,,,,,,,,,,,
5137,3|5|10|14|18,1,"$140,319.00",9,,,,,,,,,,,,,,,
24-May-17,,,,,,,,,,,,,,,,,,,
5138,3|5|9|16|18,1,"$180,950.00",5,,,,,,,,,,,,,,,
25-May-17,,,,,,,,,,,,,,,,,,,
5139,1|2|11|18|20,2,"$153,972.00",7,,,,,,,,,,,,,,,
26-May-17,,,,,,,,,,,,,,,,,,,
5140,3|4|5|7|19,1,"$141,845.00",5,,,,,,,,,,,,,,,
27-May-17,,,,,,,,,,,,,,,,,,,
5141,2|3|4|5|17,3,"$219,600.00",12,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
29-May-17,,,,,,,,,,,,,,,,,,,
5142,4|6|11|12|20,3,"$164,570.00",2,,,,,,,,,,,,,,,
30-May-17,,,,,,,,,,,,,,,,,,,
5143,12|15|16|17|20,4,"$109,148.00",4,,,,,,,,,,,,,,,
31-May-17,,,,,,,,,,,,,,,,,,,
5144,2|7|10|12|13,2,"$194,355.00",7,,,,,,,,,,,,,,,
01-Jun-17,,,,,,,,,,,,,,,,,,,
5145,6|7|12|14|15,4,"$169,029.00",9,,,,,,,,,,,,,,,
02-Jun-17,,,,,,,,,,,,,,,,,,,
5146,2|3|5|6|16,1,"$171,970.00",5,,,,,,,,,,,,,,,
03-Jun-17,,,,,,,,,,,,,,,,,,,
5147,2|6|15|18|20,2,"$237,400.00",10,,,,,,,,,,,,,,,
05-Jun-17,,,,,,,,,,,,,,,,,,,
5148,4|7|11|18|20,4,"$157,833.00",13,,,,,,,,,,,,,,,
06-Jun-17,,,,,,,,,,,,,,,,,,,
5149,2|4|5|6|17,4,"$151,864.00",4,,,,,,,,,,,,,,,
07-Jun-17,,,,,,,,,,,,,,,,,,,
5150,1|5|8|13|18,1,"$202,490.00",5,,,,,,,,,,,,,,,
08-Jun-17,,,,,,,,,,,,,,,,,,,
5151,4|5|8|14|18,4,"$157,554.00",9,,,,,,,,,,,,,,,
09-Jun-17,,,,,,,,,,,,,,,,,,,
5152,4|10|14|19|20,2,"$154,530.00",3,,,,,,,,,,,,,,,
10-Jun-17,,,,,,,,,,,,,,,,,,,
5153,2|4|8|14|15,2,"$157,833.00",13,,,,,,,,,,,,,,,
12-Jun-17,,,,,,,,,,,,,,,,,,,
5154,9|10|12|17|18,3,"$155,838.00",6,,,,,,,,,,,,,,,
13-Jun-17,,,,,,,,,,,,,,,,,,,
5155,12|13|15|18|19,4,"$141,096.00",6,,,,,,,,,,,,,,,
14-Jun-17,,,,,,,,,,,,,,,,,,,
5156,8|9|12|13|15,1,"$205,008.00",4,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
16-Jun-17,,,,,,,,,,,,,,,,,,,
5157,4|10|12|13|16,4,"$166,360.00",10,,,,,,,,,,,,,,,
17-Jun-17,,,,,,,,,,,,,,,,,,,
5158,7|9|11|12|15,4,"$235,884.00",11,,,,,,,,,,,,,,,
19-Jun-17,,,,,,,,,,,,,,,,,,,
5159,8|9|13|16|19,4,"$118,196.00",2,,,,,,,,,,,,,,,
20-Jun-17,,,,,,,,,,,,,,,,,,,
5160,2|5|6|14|19,1,"$113,808.00",4,,,,,,,,,,,,,,,
21-Jun-17,,,,,,,,,,,,,,,,,,,
5161,6|13|15|17|19,1,"$197,793.00",3,,,,,,,,,,,,,,,
22-Jun-17,,,,,,,,,,,,,,,,,,,
5162,4|6|7|12|20,3,"$154,980.00",3,,,,,,,,,,,,,,,
23-Jun-17,,,,,,,,,,,,,,,,,,,
5163,3|9|11|12|13,1,"$152,360.00",8,,,,,,,,,,,,,,,
24-Jun-17,,,,,,,,,,,,,,,,,,,
5164,2|7|17|19|20,2,"$243,738.00",9,,,,,,,,,,,,,,,
27-Jun-17,,,,,,,,,,,,,,,,,,,
5165,3|6|9|16|18,1,"$139,477.00",13,,,,,,,,,,,,,,,
28-Jun-17,,,,,,,,,,,,,,,,,,,
5166,7|10|11|12|18,1,"$154,832.00",8,,,,,,,,,,,,,,,
29-Jun-17,,,,,,,,,,,,,,,,,,,
5167,1|13|14|15|20,4,"$156,332.00",11,,,,,,,,,,,,,,,
30-Jun-17,,,,,,,,,,,,,,,,,,,
5168,10|12|15|17|18,1,"$158,045.00",5,,,,,,,,,,,,,,,
01-Jul-17,,,,,,,,,,,,,,,,,,,
5169,3|6|8|13|18,3,"$210,036.00",12,,,,,,,,,,,,,,,
03-Jul-17,,,,,,,,,,,,,,,,,,,
5170,7|12|14|19|20,3,"$161,132.00",4,,,,,,,,,,,,,,,
04-Jul-17,,,,,,,,,,,,,,,,,,,
5171,8|10|12|15|17,2,"$147,060.00",3,,,,,,,,,,,,,,,
05-Jul-17,,,,,,,,,,,,,,,,,,,
5172,2|6|8|9|20,4,"$172,898.00",11,,,,,,,,,,,,,,,
06-Jul-17,,,,,,,,,,,,,,,,,,,
5173,4|7|9|16|19,2,"$158,052.00",12,,,,,,,,,,,,,,,
07-Jul-17,,,,,,,,,,,,,,,,,,,
5174,2|7|8|12|14,3,"$150,495.00",5,,,,,,,,,,,,,,,
08-Jul-17,,,,,,,,,,,,,,,,,,,
5175,1|5|13|17|19,4,"$206,164.00",4,,,,,,,,,,,,,,,
10-Jul-17,,,,,,,,,,,,,,,,,,,
5176,2|9|13|15|18,3,"$165,672.00",6,,,,,,,,,,,,,,,
11-Jul-17,,,,,,,,,,,,,,,,,,,
5177,4|9|12|16|19,1,"$147,640.00",10,,,,,,,,,,,,,,,
12-Jul-17,,,,,,,,,,,,,,,,,,,
5178,3|6|10|17|19,1,"$164,615.00",5,,,,,,,,,,,,,,,
13-Jul-17,,,,,,,,,,,,,,,,,,,
5179,1|8|13|15|20,2,"$153,648.00",3,,,,,,,,,,,,,,,
14-Jul-17,,,,,,,,,,,,,,,,,,,
5180,5|8|10|15|17,1,"$154,063.00",13,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Jul-17,,,,,,,,,,,,,,,,,,,
5181,6|9|11|18|20,4,"$210,060.00",6,,,,,,,,,,,,,,,
17-Jul-17,,,,,,,,,,,,,,,,,,,
5182,11|13|15|17|19,3,"$175,000.00",35,,,,,,,,,,,,,,,
18-Jul-17,,,,,,,,,,,,,,,,,,,
5183,4|6|7|9|14,1,"$132,675.00",3,,,,,,,,,,,,,,,
19-Jul-17,,,,,,,,,,,,,,,,,,,
5184,3|6|11|14|20,1,"$172,808.00",8,,,,,,,,,,,,,,,
20-Jul-17,,,,,,,,,,,,,,,,,,,
5185,1|3|12|15|17,4,"$148,706.00",2,,,,,,,,,,,,,,,
21-Jul-17,,,,,,,,,,,,,,,,,,,
5186,10|13|15|16|18,1,"$143,412.00",6,,,,,,,,,,,,,,,
22-Jul-17,,,,,,,,,,,,,,,,,,,
5187,2|5|13|17|20,4,"$201,672.00",4,,,,,,,,,,,,,,,
24-Jul-17,,,,,,,,,,,,,,,,,,,
5188,1|2|6|13|16,3,"$162,288.00",2,,,,,,,,,,,,,,,
25-Jul-17,,,,,,,,,,,,,,,,,,,
5189,1|9|13|14|15,1,"$144,075.00",5,,,,,,,,,,,,,,,
26-Jul-17,,,,,,,,,,,,,,,,,,,
5190,4|9|15|16|20,1,"$171,305.00",5,,,,,,,,,,,,,,,
27-Jul-17,,,,,,,,,,,,,,,,,,,
5191,3|7|9|10|15,2,"$150,652.00",4,,,,,,,,,,,,,,,
28-Jul-17,,,,,,,,,,,,,,,,,,,
5192,2|6|12|13|15,3,"$155,551.00",11,,,,,,,,,,,,,,,
29-Jul-17,,,,,,,,,,,,,,,,,,,
5193,3|4|7|10|20,4,"$216,968.00",8,,,,,,,,,,,,,,,
31-Jul-17,,,,,,,,,,,,,,,,,,,
5194,4|7|13|15|20,2,"$166,300.00",10,,,,,,,,,,,,,,,
01-Aug-17,,,,,,,,,,,,,,,,,,,
5195,2|4|5|8|10,1,"$118,255.00",5,,,,,,,,,,,,,,,
02-Aug-17,,,,,,,,,,,,,,,,,,,
5196,1|4|7|16|19,3,"$191,910.00",6,,,,,,,,,,,,,,,
03-Aug-17,,,,,,,,,,,,,,,,,,,
5197,2|3|4|5|14,4,"$162,246.00",7,,,,,,,,,,,,,,,
04-Aug-17,,,,,,,,,,,,,,,,,,,
5198,3|5|12|13|14,1,"$163,220.00",10,,,,,,,,,,,,,,,
05-Aug-17,,,,,,,,,,,,,,,,,,,
5199,1|2|11|16|20,3,"$221,955.00",5,,,,,,,,,,,,,,,
07-Aug-17,,,,,,,,,,,,,,,,,,,
5200,5|8|15|18|19,4,"$161,128.00",8,,,,,,,,,,,,,,,
08-Aug-17,,,,,,,,,,,,,,,,,,,
5201,7|9|16|18|20,2,"$144,873.00",9,,,,,,,,,,,,,,,
09-Aug-17,,,,,,,,,,,,,,,,,,,
5202,2|3|14|17|18,2,"$174,171.00",3,,,,,,,,,,,,,,,
10-Aug-17,,,,,,,,,,,,,,,,,,,
5203,5|7|9|14|20,3,"$151,974.00",6,,,,,,,,,,,,,,,
11-Aug-17,,,,,,,,,,,,,,,,,,,
5204,6|7|9|10|14,1,"$147,800.00",5,,,,,,,,,,,,,,,
12-Aug-17,,,,,,,,,,,,,,,,,,,
5205,2|3|6|9|10,4,"$203,604.00",6,,,,,,,,,,,,,,,
14-Aug-17,,,,,,,,,,,,,,,,,,,
5206,5|7|8|14|19,3,"$145,101.00",11,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Aug-17,,,,,,,,,,,,,,,,,,,
5207,4|9|12|14|18,2,"$135,505.00",5,,,,,,,,,,,,,,,
16-Aug-17,,,,,,,,,,,,,,,,,,,
5208,2|7|10|16|17,3,"$191,808.00",8,,,,,,,,,,,,,,,
17-Aug-17,,,,,,,,,,,,,,,,,,,
5209,3|5|11|13|17,2,"$157,332.00",7,,,,,,,,,,,,,,,
18-Aug-17,,,,,,,,,,,,,,,,,,,
5210,2|9|13|15|20,4,"$156,655.00",5,,,,,,,,,,,,,,,
19-Aug-17,,,,,,,,,,,,,,,,,,,
5211,3|4|5|17|18,4,"$219,008.00",8,,,,,,,,,,,,,,,
21-Aug-17,,,,,,,,,,,,,,,,,,,
5212,2|6|7|9|11,2,"$145,525.00",5,,,,,,,,,,,,,,,
22-Aug-17,,,,,,,,,,,,,,,,,,,
5213,4|5|7|12|17,2,"$138,533.00",1,,,,,,,,,,,,,,,
23-Aug-17,,,,,,,,,,,,,,,,,,,
5214,6|12|15|19|20,1,"$185,080.00",10,,,,,,,,,,,,,,,
24-Aug-17,,,,,,,,,,,,,,,,,,,
5215,1|9|13|14|20,4,"$146,631.00",3,,,,,,,,,,,,,,,
25-Aug-17,,,,,,,,,,,,,,,,,,,
5216,6|9|12|13|18,1,"$163,590.00",6,,,,,,,,,,,,,,,
26-Aug-17,,,,,,,,,,,,,,,,,,,
5217,1|5|10|14|15,3,"$234,190.00",10,,,,,,,,,,,,,,,
28-Aug-17,,,,,,,,,,,,,,,,,,,
5218,6|7|9|12|14,2,"$155,090.00",10,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
29-Aug-17,,,,,,,,,,,,,,,,,,,
5219,1|6|8|11|16,1,"$153,200.00",10,,,,,,,,,,,,,,,
30-Aug-17,,,,,,,,,,,,,,,,,,,
5220,2|4|6|12|16,1,"$210,540.00",12,,,,,,,,,,,,,,,
31-Aug-17,,,,,,,,,,,,,,,,,,,
5221,1|2|4|6|15,2,"$124,216.00",4,,,,,,,,,,,,,,,
01-Sep-17,,,,,,,,,,,,,,,,,,,
5222,1|6|9|10|13,4,"$168,984.00",6,,,,,,,,,,,,,,,
02-Sep-17,,,,,,,,,,,,,,,,,,,
5223,3|5|7|11|16,3,"$245,025.00",9,,,,,,,,,,,,,,,
04-Sep-17,,,,,,,,,,,,,,,,,,,
5224,5|9|14|18|19,3,"$163,638.00",6,,,,,,,,,,,,,,,
05-Sep-17,,,,,,,,,,,,,,,,,,,
5225,7|12|13|16|18,3,"$159,528.00",8,,,,,,,,,,,,,,,
06-Sep-17,,,,,,,,,,,,,,,,,,,
5226,2|7|8|15|19,1,"$205,112.00",8,,,,,,,,,,,,,,,
07-Sep-17,,,,,,,,,,,,,,,,,,,
5227,4|5|9|12|15,2,"$156,276.00",3,,,,,,,,,,,,,,,
08-Sep-17,,,,,,,,,,,,,,,,,,,
5228,2|8|11|14|16,2,"$155,624.00",7,,,,,,,,,,,,,,,
09-Sep-17,,,,,,,,,,,,,,,,,,,
5229,10|11|12|17|18,4,"$238,992.00",13,,,,,,,,,,,,,,,
11-Sep-17,,,,,,,,,,,,,,,,,,,
5230,7|9|14|19|20,3,"$150,520.00",5,,,,,,,,,,,,,,,
12-Sep-17,,,,,,,,,,,,,,,,,,,
5231,2|4|15|16|18,3,"$145,245.00",5,,,,,,,,,,,,,,,
13-Sep-17,,,,,,,,,,,,,,,,,,,
5232,7|12|15|16|20,1,"$165,786.00",3,,,,,,,,,,,,,,,
14-Sep-17,,,,,,,,,,,,,,,,,,,
5233,6|8|9|13|15,2,"$149,904.00",4,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Sep-17,,,,,,,,,,,,,,,,,,,
5234,2|3|7|12|18,4,"$165,656.00",4,,,,,,,,,,,,,,,
16-Sep-17,,,,,,,,,,,,,,,,,,,
5235,7|11|12|15|16,2,"$214,570.00",10,,,,,,,,,,,,,,,
18-Sep-17,,,,,,,,,,,,,,,,,,,
5236,3|9|11|13|18,3,"$162,296.00",4,,,,,,,,,,,,,,,
19-Sep-17,,,,,,,,,,,,,,,,,,,
5237,3|4|5|8|11,2,"$143,792.00",8,,,,,,,,,,,,,,,
20-Sep-17,,,,,,,,,,,,,,,,,,,
5238,6|9|11|15|18,2,"$171,297.00",7,,,,,,,,,,,,,,,
21-Sep-17,,,,,,,,,,,,,,,,,,,
5239,2|5|8|13|15,3,"$151,827.00",13,,,,,,,,,,,,,,,
22-Sep-17,,,,,,,,,,,,,,,,,,,
5240,2|4|8|11|18,1,"$159,668.00",4,,,,,,,,,,,,,,,
23-Sep-17,,,,,,,,,,,,,,,,,,,
5241,1|3|8|13|14,2,"$210,133.00",7,,,,,,,,,,,,,,,
25-Sep-17,,,,,,,,,,,,,,,,,,,
5242,3|5|7|14|16,3,"$118,344.00",8,,,,,,,,,,,,,,,
26-Sep-17,,,,,,,,,,,,,,,,,,,
5243,8|12|14|15|18,3,"$145,369.00",7,,,,,,,,,,,,,,,
